time,lat,lon,alt,prev_lat,prev_lon,prev_alt,z0,z1,z2,r0,r1,r2,offset_r,offset_f,offset_u,dEast,dNorth,dUp,multipathMultiplier,along_track_stretch,temp,last_odo,last_odo_valid,wz_avg,hacc,decay_factor,speed,yaw,yaw_avg,filtered_speed_diff,stretch_max,maxScalar
153.910756,37.398822100,-121.979469200,-21.500000000,37.398822179,-121.979470130,-21.701479,0.018411,0.080567,-0.199736,0.810000,0.810000,0.401221,0.000000,0.000000,0.000000,-0.602102,0.466136,0.045000,1.000000,1.000000,0.900000,0.000000,0,23.527033,0.379000,0.000000,3.053000,-0.836902,-96.766637,-0.011755,0.000000,1.000000
154.160738,37.398827100,-121.979476000,-21.447999954,37.398827359,-121.979476448,-21.636899,0.032898,0.036021,-0.187955,0.810000,0.810000,0.384400,0.000000,0.000000,0.000000,-0.602102,0.554924,0.052000,1.000000,1.000000,0.900000,0.000000,0,23.578026,0.378000,0.000000,3.272000,-0.732603,-96.301870,-0.011504,0.000000,1.000000
154.400751,37.398833100,-121.979482400,-21.422000885,37.398833183,-121.979482215,-21.577562,0.007556,-0.017241,-0.155737,0.810000,0.810000,0.383161,0.000000,0.000000,0.000000,-0.566684,0.665909,0.025999,1.000000,1.000000,0.900000,0.000000,0,25.395773,0.378000,0.000000,3.482000,-0.630437,-95.806374,-0.011053,0.000000,1.000000
154.650748,37.398839900,-121.979488400,-21.423000336,37.398840217,-121.979487923,-21.521402,0.031176,-0.045470,-0.098599,0.810000,0.810000,0.383161,0.000000,0.000000,0.000000,-0.531266,0.754696,-0.000999,1.000000,1.000000,0.900000,0.000000,0,25.736568,0.378000,0.000000,3.695000,-0.517171,-95.280866,-0.010923,0.000000,1.000000
154.900745,37.398847500,-121.979493900,-21.405000687,37.398848196,-121.979492787,-21.470552,0.068865,-0.104903,-0.065696,0.810000,0.810000,0.381924,0.000000,0.000000,0.000000,-0.486994,0.843484,0.018000,1.000000,1.000000,0.900000,0.000000,0,25.666891,0.378000,0.000000,3.908000,-0.405397,-94.729622,-0.010943,0.000000,1.000000
155.160740,37.398856300,-121.979498200,-21.399000168,37.398857320,-121.979496948,-21.422694,0.104826,-0.119384,-0.022987,0.810000,0.810000,0.380689,0.000000,0.000000,0.000000,-0.380741,0.976666,0.006001,1.000000,1.000000,0.900000,0.000000,0,22.124605,0.378000,0.000000,4.155000,-0.296122,-94.156972,-0.010127,0.000000,1.000000
155.400753,37.398865800,-121.979501500,-21.385999680,37.398866436,-121.979499715,-21.385052,0.060615,-0.162523,0.001013,0.810000,0.810000,0.365614,0.000000,0.000000,0.000000,-0.292196,1.054355,0.013000,1.000000,1.000000,0.900000,0.000000,0,16.498814,0.377000,0.000000,4.413000,-0.218695,-93.569077,-0.010568,0.000000,1.000000
155.650750,37.398876200,-121.979504200,-21.382999420,37.398876749,-121.979501805,-21.347445,0.049840,-0.215264,0.035653,0.810000,0.810000,0.364430,0.000000,0.000000,0.000000,-0.239070,1.154241,0.003000,1.000000,1.000000,0.900000,0.000000,0,11.237360,0.376000,0.000000,4.689000,-0.160105,-92.968498,-0.009959,0.000000,1.000000
155.910745,37.398887200,-121.979506400,-21.360000610,37.398888134,-121.979503444,-21.307164,0.092858,-0.266478,0.054329,0.810000,0.810000,0.363247,0.000000,0.000000,0.000000,-0.194798,1.220832,0.022999,1.000000,1.000000,0.900000,0.000000,0,9.558549,0.376000,0.004415,4.932000,-0.116217,-92.356397,-0.009575,0.000000,1.000000
156.160742,37.398898700,-121.979508100,-21.322000504,37.398899447,-121.979504769,-21.270010,0.073901,-0.297825,0.053597,0.810000,0.810000,0.362067,0.000000,0.000000,0.000000,-0.150525,1.276325,0.038000,1.000000,1.000000,0.900000,0.000000,0,7.801403,0.375000,0.021986,5.170000,-0.076920,-91.732999,-0.009904,0.000000,1.000000
156.400755,37.398910900,-121.979509200,-21.327999115,37.398910798,-121.979505663,-21.236444,-0.017295,-0.312791,0.091466,0.810000,0.810000,0.360889,0.000000,0.000000,0.000000,-0.097399,1.354014,-0.005999,1.000000,1.000000,0.900000,0.000000,0,6.147524,0.374000,0.038525,5.412000,-0.051355,-91.098468,-0.009438,0.000000,1.000000
156.650752,37.398923600,-121.979510000,-21.323999405,37.398923422,-121.979506612,-21.214508,-0.022120,-0.299663,0.109574,0.810000,0.810000,0.360889,0.000000,0.000000,0.000000,-0.070835,1.409506,0.004000,1.000000,1.000000,0.900000,0.000000,0,5.036096,0.374000,0.049639,5.649000,-0.025421,-90.452584,-0.009345,0.000000,1.000000
156.910747,37.398936900,-121.979510400,-21.312000275,37.398937081,-121.979508579,-21.202273,0.020692,-0.161429,0.110552,0.810000,0.810000,0.360000,0.000000,0.000000,0.000000,-0.035418,1.476097,0.011999,1.000000,1.000000,0.900000,0.000000,0,4.751893,0.374000,0.050000,5.890000,-0.001997,-89.795104,-0.008921,0.000000,1.000000
157.160744,37.398950900,-121.979510400,-21.274999619,37.398950102,-121.979510187,-21.220106,-0.088258,-0.019043,0.052201,0.810000,0.810000,0.360000,0.000000,0.000000,0.000000,0.000000,1.553787,0.037001,1.000000,1.000000,0.900000,0.000000,0,1.470621,0.373000,0.050000,6.177000,0.012586,-89.125738,-0.008137,0.000000,1.000000
157.400742,37.398965400,-121.979510200,-21.239999771,37.398963342,-121.979510136,-21.224982,-0.228122,-0.008557,0.007421,0.810000,0.810000,0.360000,0.000000,0.000000,0.000000,0.017709,1.609279,0.035000,1.000000,1.000000,0.900000,0.000000,0,0.740624,0.373000,0.050000,6.418000,0.016197,-88.444222,-0.007676,0.000000,1.000000
